,0,1,2,3,4,5,6,7,8,9,10
36,Dark Seer,Pudge,Gyrocopter,Rubick,Mirana,Undying,Venomancer,Doom,Faceless Void,Queen of Pain,1
37,Queen of Pain,Nyx Assassin,Phantom Assassin,Tiny,Crystal Maiden,Pugna,Riki,Shadow Fiend,Rubick,Magnus,1
38,Earthshaker,Storm Spirit,Templar Assassin,Jakiro,Bounty Hunter,Batrider,Meepo,Gyrocopter,Dark Seer,Phantom Lancer,1
39,Kunkka,Nature's Prophet,Death Prophet,Earthshaker,Riki,Vengeful Spirit,Viper,Windrunner,Lone Druid,Bounty Hunter,1
40,Windrunner,Sand King,Viper,Gyrocopter,Keeper of the Light,Lina,Pugna,Weaver,Centaur Warrunner,Morphling,1
41,Doom,Slark,Clinkz,Lina,Necrolyte,Nature's Prophet,Keeper of the Light,Sven,Troll Warlord,Lone Druid,1
42,Alchemist,Earthshaker,Huskar,Ogre Magi,Luna,Templar Assassin,Witch Doctor,Kunkka,Slark,Anti-Mage,1
43,Doom,Lycanthrope,Clockwerk,Nyx Assassin,Keeper of the Light,Brewmaster,Spirit Breaker,Dazzle,Outworld Devourer,Skeleton King,1
44,Enchantress,Enigma,Medusa,Batrider,Drow Ranger,Puck,Windrunner,Tiny,Kunkka,Nature's Prophet,1
45,Enchantress,Weaver,Storm Spirit,Sven,Shadow Demon,Magnus,Shadow Shaman,Disruptor,Troll Warlord,Rubick,2
46,Brewmaster,Enigma,Pudge,Windrunner,Drow Ranger,Phantom Lancer,Rubick,Enchantress,Storm Spirit,Doom,1
47,Juggernaut,Pugna,Lion,Huskar,Axe,Meepo,Ancient Apparition,Jakiro,Leshrac,Phantom Assassin,1
48,Anti-Mage,Viper,Windrunner,Sand King,Faceless Void,Batrider,Jakiro,Witch Doctor,Zeus,Chaos Knight,2
49,Lycanthrope,Sand King,Invoker,Gyrocopter,Windrunner,Weaver,Broodmother,Keeper of the Light,Ogre Magi,Troll Warlord,2
50,Juggernaut,Batrider,Necrolyte,Bounty Hunter,Dark Seer,Queen of Pain,Lifestealer,Chen,Meepo,Ogre Magi,2
51,Slardar,Tiny,Kunkka,Lion,Leshrac,Necrolyte,Phantom Assassin,Venomancer,Medusa,Rubick,2
52,Morphling,Keeper of the Light,Crystal Maiden,Troll Warlord,Zeus,Gyrocopter,Enchantress,Magnus,Rubick,Invoker,1
53,Tiny,Nyx Assassin,Phantom Lancer,Alchemist,Enigma,Luna,Windrunner,Visage,Chen,Lone Druid,1
54,Faceless Void,Drow Ranger,Nyx Assassin,Centaur Warrunner,Lina,Phantom Assassin,Invoker,Pudge,Treant Protector,Storm Spirit,1
55,Phantom Assassin,Alchemist,Nyx Assassin,Venomancer,Nature's Prophet,Axe,Weaver,Queen of Pain,Dark Seer,Crystal Maiden,2
56,Batrider,Pudge,Phantom Lancer,Rubick,Dark Seer,Timbersaw,Mirana,Keeper of the Light,Skeleton King,Phantom Assassin,2
57,Tidehunter,Morphling,Nature's Prophet,Jakiro,Anti-Mage,Kunkka,Invoker,Visage,Keeper of the Light,Faceless Void,2
58,Nature's Prophet,Omniknight,Templar Assassin,Bloodseeker,Necrolyte,Luna,Windrunner,Shadow Demon,Queen of Pain,Enchantress,2
59,Disruptor,Nyx Assassin,Luna,Morphling,Doom,Pudge,Leshrac,Puck,Anti-Mage,Sand King,2
60,Luna,Death Prophet,Troll Warlord,Riki,Lina,Nyx Assassin,Sven,Tiny,Invoker,Outworld Devourer,1
61,Leshrac,Shadow Demon,Meepo,Necrolyte,Outworld Devourer,Slark,Drow Ranger,Pudge,Magnus,Vengeful Spirit,2
62,Alchemist,Pudge,Venomancer,Dazzle,Nature's Prophet,Sven,Queen of Pain,Lifestealer,Axe,Gyrocopter,1
63,Kunkka,Viper,Outworld Devourer,Huskar,Lion,Meepo,Windrunner,Sven,Gyrocopter,Storm Spirit,1
64,Death Prophet,Nature's Prophet,Pudge,Leshrac,Viper,Windrunner,Nyx Assassin,Juggernaut,Magnus,Drow Ranger,1
65,Luna,Omniknight,Wisp,Troll Warlord,Ogre Magi,Morphling,Sniper,Leshrac,Puck,Spirit Breaker,1
66,Earthshaker,Invoker,Windrunner,Brewmaster,Phantom Lancer,Huskar,Tidehunter,Nyx Assassin,Pudge,Magnus,2
67,Drow Ranger,Wisp,Dragon Knight,Rubick,Sven,Magnus,Lifestealer,Shadow Fiend,Invoker,Earthshaker,1
68,Juggernaut,Slardar,Leshrac,Rubick,Timbersaw,Ancient Apparition,Phantom Lancer,Doom,Pudge,Magnus,1
69,Night Stalker,Dragon Knight,Morphling,Razor,Crystal Maiden,Timbersaw,Viper,Vengeful Spirit,Lich,Bounty Hunter,2
70,Dark Seer,Skeleton King,Lycanthrope,Sniper,Razor,Outworld Devourer,Lion,Phantom Lancer,Omniknight,Witch Doctor,2
71,Bounty Hunter,Treant Protector,Tiny,Nature's Prophet,Gyrocopter,Earthshaker,Invoker,Spirit Breaker,Sand King,Windrunner,2
72,Lone Druid,Lion,Sniper,Gyrocopter,Rubick,Weaver,Keeper of the Light,Storm Spirit,Pudge,Lifestealer,2
73,Puck,Pudge,Outworld Devourer,Enchantress,Weaver,Tidehunter,Skeleton King,Gyrocopter,Nature's Prophet,Disruptor,2
74,Tiny,Dark Seer,Axe,Pudge,Shadow Shaman,Undying,Leshrac,Gyrocopter,Batrider,Windrunner,2
75,Tiny,Silencer,Invoker,Ogre Magi,Anti-Mage,Earthshaker,Storm Spirit,Windrunner,Bounty Hunter,Luna,2
76,Lone Druid,Sniper,Lifestealer,Shadow Fiend,Nyx Assassin,Beastmaster,Zeus,Bane,Luna,Night Stalker,2
77,Drow Ranger,Treant Protector,Kunkka,Vengeful Spirit,Puck,Queen of Pain,Luna,Bounty Hunter,Dark Seer,Timbersaw,2
78,Witch Doctor,Troll Warlord,Nature's Prophet,Lina,Slardar,Night Stalker,Invoker,Clinkz,Puck,Lion,1
79,Undying,Invoker,Outworld Devourer,Gyrocopter,Rubick,Nyx Assassin,Windrunner,Clockwerk,Lich,Drow Ranger,2
80,Phantom Lancer,Undying,Enigma,Witch Doctor,Bloodseeker,Mirana,Leshrac,Lina,Lifestealer,Tidehunter,2
81,Tinker,Invoker,Weaver,Crystal Maiden,Luna,Warlock,Shadow Demon,Sven,Venomancer,Nyx Assassin,1
82,Bounty Hunter,Tinker,Sven,Enigma,Invoker,Gyrocopter,Slardar,Crystal Maiden,Templar Assassin,Keeper of the Light,2
83,Treant Protector,Vengeful Spirit,Troll Warlord,Weaver,Gyrocopter,Riki,Wisp,Kunkka,Phantom Lancer,Keeper of the Light,2
84,Razor,Witch Doctor,Spectre,Rubick,Troll Warlord,Viper,Morphling,Nyx Assassin,Nature's Prophet,Mirana,1
85,Warlock,Earthshaker,Bloodseeker,Clinkz,Nature's Prophet,Juggernaut,Gyrocopter,Witch Doctor,Rubick,Sand King,2
86,Invoker,Witch Doctor,Slark,Centaur Warrunner,Ancient Apparition,Earthshaker,Tiny,Huskar,Doom,Bane,2
87,Faceless Void,Sand King,Enigma,Weaver,Necrolyte,Nature's Prophet,Slark,Pudge,Morphling,Invoker,1
88,Broodmother,Doom,Pugna,Puck,Gyrocopter,Invoker,Lifestealer,Axe,Kunkka,Dark Seer,1
89,Jakiro,Dragon Knight,Ursa,Juggernaut,Bounty Hunter,Lifestealer,Venomancer,Sand King,Weaver,Shadow Fiend,2
90,Morphling,Rubick,Warlock,Omniknight,Troll Warlord,Ancient Apparition,Gyrocopter,Huskar,Bounty Hunter,Batrider,1
91,Batrider,Lina,Earthshaker,Night Stalker,Morphling,Weaver,Lifestealer,Queen of Pain,Naga Siren,Vengeful Spirit,2
92,Tinker,Clinkz,Storm Spirit,Jakiro,Slark,Wisp,Nyx Assassin,Enigma,Juggernaut,Windrunner,2
93,Dark Seer,Clinkz,Undying,Shadow Fiend,Storm Spirit,Warlock,Chaos Knight,Pudge,Puck,Bounty Hunter,2
94,Witch Doctor,Invoker,Ancient Apparition,Clockwerk,Drow Ranger,Shadow Fiend,Pugna,Ogre Magi,Lifestealer,Axe,1
95,Queen of Pain,Brewmaster,Ogre Magi,Broodmother,Huskar,Dark Seer,Nyx Assassin,Jakiro,Morphling,Rubick,2
96,Alchemist,Ancient Apparition,Luna,Wisp,Pudge,Meepo,Doom,Bane,Witch Doctor,Phantom Assassin,1
97,Pudge,Nature's Prophet,Tinker,Axe,Shadow Fiend,Keeper of the Light,Bloodseeker,Rubick,Dragon Knight,Undying,1
98,Axe,Tiny,Shadow Demon,Pudge,Dragon Knight,Troll Warlord,Magnus,Vengeful Spirit,Rubick,Juggernaut,2
99,Dragon Knight,Sven,Phantom Lancer,Pudge,Nature's Prophet,Luna,Chaos Knight,Crystal Maiden,Invoker,Lycanthrope,1
100,Viper,Shadow Demon,Dark Seer,Pudge,Centaur Warrunner,Tiny,Nature's Prophet,Nyx Assassin,Magnus,Zeus,2
101,Crystal Maiden,Shadow Fiend,Juggernaut,Lone Druid,Batrider,Silencer,Jakiro,Rubick,Skeleton King,Earthshaker,1
102,Puck,Naga Siren,Shadow Demon,Queen of Pain,Nature's Prophet,Necrolyte,Sven,Clockwerk,Tinker,Vengeful Spirit,2
103,Juggernaut,Rubick,Bounty Hunter,Warlock,Ogre Magi,Night Stalker,Magnus,Sven,Lifestealer,Lina,2
104,Lich,Queen of Pain,Anti-Mage,Alchemist,Death Prophet,Jakiro,Visage,Phantom Lancer,Centaur Warrunner,Rubick,2
105,Lone Druid,Nyx Assassin,Chen,Faceless Void,Rubick,Jakiro,Windrunner,Keeper of the Light,Silencer,Phantom Lancer,1
106,Tidehunter,Anti-Mage,Templar Assassin,Night Stalker,Sand King,Lone Druid,Clockwerk,Invoker,Bane,Lifestealer,1
107,Axe,Queen of Pain,Nyx Assassin,Windrunner,Lifestealer,Faceless Void,Lina,Shadow Demon,Storm Spirit,Pugna,1
108,Necrolyte,Lion,Axe,Tidehunter,Silencer,Warlock,Nyx Assassin,Storm Spirit,Drow Ranger,Sven,2
109,Lifestealer,Pudge,Tidehunter,Jakiro,Faceless Void,Magnus,Sand King,Shadow Demon,Luna,Disruptor,1
110,Keeper of the Light,Bane,Lone Druid,Shadow Fiend,Lich,Bounty Hunter,Shadow Demon,Windrunner,Chaos Knight,Sven,1
111,Lina,Gyrocopter,Shadow Demon,Lone Druid,Shadow Fiend,Enigma,Venomancer,Rubick,Troll Warlord,Bounty Hunter,2
112,Enigma,Anti-Mage,Sand King,Nature's Prophet,Queen of Pain,Disruptor,Phantom Lancer,Juggernaut,Shadow Demon,Nyx Assassin,1
113,Axe,Pudge,Ogre Magi,Phantom Lancer,Lich,Kunkka,Crystal Maiden,Chaos Knight,Beastmaster,Enchantress,1
114,Puck,Windrunner,Axe,Bounty Hunter,Clockwerk,Chaos Knight,Faceless Void,Meepo,Nyx Assassin,Shadow Fiend,1
115,Brewmaster,Undying,Shadow Fiend,Shadow Shaman,Windrunner,Clockwerk,Queen of Pain,Dark Seer,Wisp,Chaos Knight,2
116,Chen,Queen of Pain,Naga Siren,Batrider,Sven,Nyx Assassin,Riki,Venomancer,Windrunner,Dragon Knight,1
117,Sand King,Windrunner,Pudge,Broodmother,Zeus,Necrolyte,Lone Druid,Sven,Shadow Shaman,Axe,1
118,Witch Doctor,Slardar,Invoker,Sand King,Nature's Prophet,Windrunner,Shadow Demon,Shadow Shaman,Axe,Phantom Lancer,2
119,Weaver,Enigma,Shadow Fiend,Jakiro,Magnus,Dark Seer,Vengeful Spirit,Huskar,Beastmaster,Rubick,2
120,Invoker,Shadow Fiend,Weaver,Windrunner,Lifestealer,Pudge,Centaur Warrunner,Rubick,Sand King,Bounty Hunter,2
121,Storm Spirit,Jakiro,Lina,Lone Druid,Juggernaut,Slark,Sniper,Bane,Luna,Invoker,1
122,Slardar,Nature's Prophet,Windrunner,Slark,Leshrac,Anti-Mage,Lich,Faceless Void,Chen,Rubick,1
123,Leshrac,Shadow Demon,Invoker,Bounty Hunter,Faceless Void,Ancient Apparition,Drow Ranger,Night Stalker,Pudge,Luna,2
124,Drow Ranger,Silencer,Clockwerk,Axe,Pudge,Puck,Batrider,Lone Druid,Troll Warlord,Warlock,2
125,Rubick,Medusa,Wisp,Tiny,Weaver,Faceless Void,Windrunner,Shadow Fiend,Lion,Bloodseeker,2
126,Pudge,Clinkz,Lifestealer,Phantom Assassin,Windrunner,Tinker,Enigma,Sniper,Ogre Magi,Wisp,1
127,Bloodseeker,Lifestealer,Invoker,Zeus,Nyx Assassin,Pudge,Drow Ranger,Pugna,Vengeful Spirit,Alchemist,1
128,Morphling,Doom,Dazzle,Mirana,Invoker,Shadow Fiend,Warlock,Nature's Prophet,Bloodseeker,Tidehunter,2
129,Clinkz,Storm Spirit,Viper,Bane,Phantom Lancer,Slark,Silencer,Invoker,Brewmaster,Spirit Breaker,2
130,Anti-Mage,Tinker,Shadow Demon,Slark,Vengeful Spirit,Juggernaut,Lion,Doom,Alchemist,Kunkka,2
131,Centaur Warrunner,Witch Doctor,Chaos Knight,Ancient Apparition,Nyx Assassin,Weaver,Enchantress,Puck,Pudge,Shadow Demon,2
132,Lone Druid,Phantom Assassin,Rubick,Brewmaster,Juggernaut,Outworld Devourer,Puck,Windrunner,Clinkz,Lina,2
133,Slark,Venomancer,Brewmaster,Timbersaw,Enigma,Sand King,Ancient Apparition,Queen of Pain,Sven,Naga Siren,2
134,Spirit Breaker,Undying,Shadow Fiend,Leshrac,Lycanthrope,Tidehunter,Jakiro,Viper,Sniper,Queen of Pain,1
135,Pudge,Luna,Bane,Sand King,Drow Ranger,Lifestealer,Witch Doctor,Silencer,Bloodseeker,Storm Spirit,1
136,Bloodseeker,Clinkz,Pudge,Shadow Demon,Sven,Centaur Warrunner,Magnus,Crystal Maiden,Luna,Gyrocopter,2
137,Spirit Breaker,Witch Doctor,Spectre,Invoker,Dark Seer,Juggernaut,Tinker,Viper,Queen of Pain,Magnus,1
138,Venomancer,Sand King,Tinker,Tiny,Brewmaster,Undying,Warlock,Treant Protector,Lone Druid,Clinkz,1
139,Lycanthrope,Undying,Keeper of the Light,Brewmaster,Bounty Hunter,Invoker,Gyrocopter,Centaur Warrunner,Lich,Troll Warlord,1
140,Windrunner,Doom,Rubick,Phantom Lancer,Lone Druid,Nyx Assassin,Juggernaut,Spirit Breaker,Venomancer,Pudge,2
141,Disruptor,Batrider,Ancient Apparition,Pudge,Chaos Knight,Silencer,Visage,Axe,Death Prophet,Timbersaw,1
142,Storm Spirit,Chen,Nyx Assassin,Luna,Morphling,Pugna,Keeper of the Light,Slardar,Shadow Fiend,Lich,2
143,Slardar,Bane,Undying,Warlock,Bloodseeker,Bounty Hunter,Nyx Assassin,Doom,Meepo,Anti-Mage,1
144,Lina,Sniper,Shadow Fiend,Leshrac,Sand King,Phantom Lancer,Puck,Venomancer,Enchantress,Silencer,1
145,Silencer,Phantom Assassin,Clockwerk,Axe,Kunkka,Crystal Maiden,Skeleton King,Pudge,Batrider,Dark Seer,1
146,Templar Assassin,Disruptor,Dark Seer,Ancient Apparition,Sven,Alchemist,Lifestealer,Rubick,Anti-Mage,Bounty Hunter,1
147,Pudge,Axe,Windrunner,Bounty Hunter,Lifestealer,Luna,Rubick,Nyx Assassin,Alchemist,Warlock,1
148,Queen of Pain,Chaos Knight,Rubick,Magnus,Enchantress,Windrunner,Troll Warlord,Shadow Fiend,Brewmaster,Venomancer,2
149,Disruptor,Razor,Dragon Knight,Silencer,Jakiro,Bounty Hunter,Dark Seer,Ogre Magi,Kunkka,Storm Spirit,1
150,Medusa,Invoker,Juggernaut,Windrunner,Nyx Assassin,Tinker,Magnus,Jakiro,Anti-Mage,Enchantress,1
151,Faceless Void,Queen of Pain,Bounty Hunter,Dark Seer,Disruptor,Nature's Prophet,Treant Protector,Lina,Wisp,Chaos Knight,2
152,Lion,Luna,Clockwerk,Rubick,Invoker,Dark Seer,Magnus,Pudge,Witch Doctor,Sven,1
153,Shadow Demon,Kunkka,Lycanthrope,Dark Seer,Anti-Mage,Jakiro,Meepo,Pudge,Phantom Assassin,Ursa,1
154,Windrunner,Medusa,Juggernaut,Bloodseeker,Invoker,Axe,Disruptor,Phantom Assassin,Tinker,Necrolyte,1
155,Clockwerk,Huskar,Jakiro,Weaver,Tinker,Alchemist,Gyrocopter,Bloodseeker,Tidehunter,Lina,1
156,Dark Seer,Batrider,Lion,Drow Ranger,Pudge,Warlock,Dazzle,Nyx Assassin,Spirit Breaker,Windrunner,2
157,Omniknight,Pudge,Bloodseeker,Medusa,Dragon Knight,Sniper,Crystal Maiden,Huskar,Magnus,Dark Seer,1
158,Medusa,Lion,Spirit Breaker,Shadow Fiend,Centaur Warrunner,Nature's Prophet,Drow Ranger,Tiny,Puck,Jakiro,1
159,Centaur Warrunner,Queen of Pain,Mirana,Nyx Assassin,Omniknight,Lifestealer,Leshrac,Vengeful Spirit,Dazzle,Ursa,1
160,Ursa,Witch Doctor,Timbersaw,Leshrac,Dazzle,Necrolyte,Troll Warlord,Outworld Devourer,Spectre,Axe,2
161,Necrolyte,Lifestealer,Brewmaster,Zeus,Nyx Assassin,Drow Ranger,Tidehunter,Windrunner,Pudge,Batrider,1
162,Slark,Riki,Invoker,Tidehunter,Shadow Shaman,Magnus,Lone Druid,Queen of Pain,Sniper,Lion,2
163,Omniknight,Jakiro,Kunkka,Spirit Breaker,Skeleton King,Nature's Prophet,Spectre,Lion,Mirana,Huskar,1
164,Invoker,Rubick,Kunkka,Brewmaster,Venomancer,Storm Spirit,Nyx Assassin,Lina,Mirana,Witch Doctor,1
165,Nature's Prophet,Beastmaster,Morphling,Warlock,Nyx Assassin,Bounty Hunter,Witch Doctor,Rubick,Lifestealer,Sand King,2
166,Shadow Fiend,Crystal Maiden,Slardar,Earthshaker,Ancient Apparition,Disruptor,Faceless Void,Broodmother,Shadow Demon,Jakiro,1
167,Chaos Knight,Disruptor,Templar Assassin,Ursa,Huskar,Weaver,Luna,Lion,Kunkka,Death Prophet,2
168,Axe,Magnus,Luna,Invoker,Lich,Bounty Hunter,Storm Spirit,Rubick,Nyx Assassin,Medusa,1
169,Sand King,Dark Seer,Tiny,Shadow Fiend,Wisp,Disruptor,Nature's Prophet,Necrolyte,Chaos Knight,Shadow Shaman,1
170,Dragon Knight,Disruptor,Silencer,Shadow Shaman,Spectre,Leshrac,Treant Protector,Brewmaster,Puck,Lifestealer,2
171,Mirana,Phantom Lancer,Axe,Brewmaster,Ancient Apparition,Chaos Knight,Leshrac,Luna,Vengeful Spirit,Beastmaster,2
172,Weaver,Ursa,Enchantress,Clinkz,Brewmaster,Lion,Luna,Naga Siren,Templar Assassin,Windrunner,2
173,Beastmaster,Timbersaw,Slark,Brewmaster,Nature's Prophet,Magnus,Mirana,Sven,Witch Doctor,Enchantress,1
174,Anti-Mage,Leshrac,Naga Siren,Invoker,Nature's Prophet,Enchantress,Drow Ranger,Zeus,Dark Seer,Shadow Demon,2
175,Shadow Fiend,Alchemist,Witch Doctor,Riki,Windrunner,Anti-Mage,Enchantress,Zeus,Leshrac,Sven,2
176,Witch Doctor,Puck,Dark Seer,Luna,Undying,Chaos Knight,Wisp,Slardar,Crystal Maiden,Silencer,1
177,Leshrac,Gyrocopter,Enigma,Phantom Assassin,Sniper,Keeper of the Light,Nyx Assassin,Batrider,Windrunner,Troll Warlord,2
178,Queen of Pain,Brewmaster,Weaver,Storm Spirit,Venomancer,Lycanthrope,Tinker,Ogre Magi,Sniper,Windrunner,2
179,Phantom Lancer,Rubick,Pugna,Shadow Fiend,Sand King,Tidehunter,Storm Spirit,Tiny,Gyrocopter,Meepo,2
180,Undying,Nature's Prophet,Phantom Lancer,Puck,Vengeful Spirit,Earthshaker,Axe,Slark,Anti-Mage,Pudge,1
181,Earthshaker,Tinker,Axe,Medusa,Anti-Mage,Chaos Knight,Wisp,Enigma,Crystal Maiden,Pugna,2
182,Troll Warlord,Nature's Prophet,Queen of Pain,Tidehunter,Axe,Tiny,Invoker,Jakiro,Morphling,Pugna,1
183,Pudge,Phantom Lancer,Dark Seer,Dazzle,Lone Druid,Lion,Morphling,Luna,Bane,Tidehunter,1
184,Puck,Sand King,Lion,Pudge,Drow Ranger,Dazzle,Kunkka,Doom,Mirana,Axe,2
185,Clockwerk,Zeus,Dragon Knight,Juggernaut,Lycanthrope,Witch Doctor,Storm Spirit,Lina,Luna,Alchemist,1
186,Gyrocopter,Timbersaw,Queen of Pain,Lina,Clinkz,Shadow Demon,Clockwerk,Drow Ranger,Pudge,Juggernaut,1
187,Kunkka,Puck,Skeleton King,Lich,Gyrocopter,Invoker,Doom,Windrunner,Drow Ranger,Undying,1
188,Storm Spirit,Crystal Maiden,Pudge,Windrunner,Night Stalker,Spirit Breaker,Queen of Pain,Lion,Anti-Mage,Vengeful Spirit,2
189,Centaur Warrunner,Crystal Maiden,Earthshaker,Juggernaut,Storm Spirit,Tidehunter,Sand King,Ogre Magi,Queen of Pain,Anti-Mage,1
190,Windrunner,Luna,Troll Warlord,Bane,Pudge,Lifestealer,Chaos Knight,Death Prophet,Crystal Maiden,Broodmother,2
191,Luna,Rubick,Viper,Sand King,Brewmaster,Slark,Undying,Weaver,Pudge,Razor,1
192,Lion,Templar Assassin,Broodmother,Shadow Fiend,Crystal Maiden,Sand King,Axe,Invoker,Windrunner,Kunkka,2
193,Anti-Mage,Venomancer,Nature's Prophet,Bloodseeker,Pudge,Riki,Templar Assassin,Tidehunter,Lich,Pugna,2
194,Shadow Demon,Luna,Silencer,Magnus,Faceless Void,Pudge,Windrunner,Morphling,Warlock,Phantom Assassin,1
195,Windrunner,Lion,Lina,Rubick,Juggernaut,Crystal Maiden,Brewmaster,Shadow Fiend,Sand King,Dazzle,1
196,Jakiro,Enchantress,Invoker,Troll Warlord,Windrunner,Viper,Clockwerk,Mirana,Nature's Prophet,Slark,2
197,Pudge,Weaver,Keeper of the Light,Lifestealer,Windrunner,Necrolyte,Lone Druid,Invoker,Leshrac,Tiny,1
198,Slark,Zeus,Viper,Phantom Assassin,Mirana,Pudge,Windrunner,Nature's Prophet,Skeleton King,Sniper,1
199,Viper,Lifestealer,Morphling,Bloodseeker,Sand King,Nyx Assassin,Venomancer,Medusa,Bounty Hunter,Puck,1
200,Nyx Assassin,Earthshaker,Disruptor,Centaur Warrunner,Chaos Knight,Faceless Void,Queen of Pain,Lion,Necrolyte,Sand King,2
201,Juggernaut,Tidehunter,Earthshaker,Bounty Hunter,Keeper of the Light,Venomancer,Phantom Assassin,Timbersaw,Huskar,Witch Doctor,1
202,Pudge,Bane,Sven,Keeper of the Light,Slardar,Shadow Fiend,Lich,Drow Ranger,Wisp,Treant Protector,1
203,Enigma,Vengeful Spirit,Shadow Fiend,Zeus,Alchemist,Ancient Apparition,Silencer,Slark,Clinkz,Batrider,1
204,Pugna,Invoker,Bane,Centaur Warrunner,Ursa,Sand King,Luna,Puck,Lich,Sniper,2
205,Enchantress,Crystal Maiden,Kunkka,Mirana,Ursa,Doom,Chen,Anti-Mage,Witch Doctor,Rubick,1
